Country,ResellerID,Trans12Mo,Units12Mo
Colombia,56677517,1,5
Colombia,54919091,3,5
Colombia,55495918,1,5
Colombia,55219732,3,5
Colombia,53241963,1,5
Colombia,56817708,1,5
Colombia,56702900,1,5
Colombia,56205347,5,5
Colombia,53975176,2,5
Colombia,49591278,1,5
Colombia,52479373,2,5
Colombia,47922616,3,5
Colombia,47619798,4,5
Colombia,39825025,1,5
Colombia,45647818,3,5
Colombia,43515145,1,5
Colombia,29812426,2,5
Colombia,36707407,1,5
Colombia,31642981,1,5
Colombia,32556340,1,5
Colombia,17604535,1,5
Colombia,15569200,1,5
Colombia,19028855,3,5
Colombia,19022485,4,5
Colombia,22857681,3,5
Colombia,17479033,4,5
Colombia,19862271,1,5
Colombia,13611720,1,5
Colombia,13730700,1,5
Colombia,7171994,4,5
Colombia,12398382,1,5
Colombia,13454266,1,5
Mexico,1463175,3,5
Mexico,53587979,3,5
Mexico,304410,5,5
Mexico,14517447,1,5
Mexico,37046893,2,5
Mexico,37046893,3,5
Mexico,35438468,3,5
Mexico,8425882,1,5
Mexico,15804407,5,5
Mexico,16582632,4,5
Mexico,4160729,4,5
Mexico,40268320,3,5
Mexico,14987320,3,5
Mexico,48783272,1,5
Mexico,18488360,3,5
Mexico,1952068,1,5
Mexico,50934097,4,5
Mexico,1338238,3,5
Mexico,9628489,5,5
Mexico,502765,1,5
Mexico,1730295,5,5
Mexico,53339157,1,5
Mexico,53339157,2,5
Mexico,41559909,3,5
Mexico,18433990,4,5
Mexico,54088896,4,5
Mexico,54359764,2,5
Mexico,52633873,1,5
Mexico,49736699,4,5
Mexico,50872268,2,5
Mexico,44596530,4,5
Mexico,44253378,4,5
Mexico,39295166,5,5
Mexico,12737371,4,5
Mexico,12973058,6,5
Mexico,1327927,3,5
Mexico,2305403,4,5
Mexico,56967531,1,5
Mexico,56538924,2,5
Mexico,52634317,2,5
Mexico,34054949,3,5
Mexico,17016075,4,5
Mexico,13692048,4,5
Mexico,1572552,3,5
Mexico,54919001,1,5
Mexico,51138588,5,5
Mexico,45734076,5,5
Mexico,45361544,2,5
Mexico,36552921,2,5
Mexico,21846568,3,5
Mexico,16762138,5,5
Mexico,19260472,4,5
Mexico,3538029,4,5
Mexico,2171707,4,5
Mexico,56538937,4,5
Mexico,54634799,2,5
Mexico,53185814,1,5
Mexico,46898091,3,5
Mexico,37857581,3,5
Mexico,38621127,3,5
Mexico,25679048,3,5
Mexico,23122385,1,5
Mexico,34881416,5,5
Mexico,23860530,1,5
Mexico,11101047,2,5
Mexico,10673566,4,5
Mexico,124663,4,5
Mexico,8524752,4,5
Mexico,1463131,1,5
Mexico,63051087,1,5
Mexico,63882270,2,5
Mexico,63882120,1,5
Mexico,61215854,1,5
